,branch-0-train-loss,branch-1-train-loss,branch-2-train-loss,branch-3-train-loss,branch-0-train-accuracy,branch-1-train-accuracy,branch-2-train-accuracy,branch-3-train-accuracy,branch-0-train-time,branch-1-train-time,branch-2-train-time,branch-3-train-time,branch-0-test-loss,branch-1-test-loss,branch-2-test-loss,branch-3-test-loss,branch-0-test-accuracy,branch-1-test-accuracy,branch-2-test-accuracy,branch-3-test-accuracy,branch-0-test-time,branch-1-test-time,branch-2-test-time,branch-3-test-time
36,"[0.9093209986644866, 0.42753534127955395, 0.06749676495819538, 0.024018124942079083]","[0.6936951576210595, 0.8613097172570686, 0.9805004874878128, 0.9926876828079298]",138.11934566497803,"[0.7352734375, 0.4080322570800781, 0.227984375, 0.2512727508544922]","[0.748, 0.868, 0.94, 0.946]",8.5630784034729,,,,,,,,,,,,,,,,,,
37,"[0.9155001288542005, 0.41786473038369354, 0.06480720130739408, 0.02511298644841008]","[0.6922326941826454, 0.8657783555411115, 0.9820441988950276, 0.992606434839129]",139.35609102249146,"[0.6606593017578125, 0.4638769836425781, 0.17743626403808593, 0.187945556640625]","[0.782, 0.848, 0.946, 0.954]",9.320005178451538,,,,,,,,,,,,,,,,,,
38,"[0.888710356703973, 0.41239060881388123, 0.07299078196568035, 0.03078113316637299]","[0.705313617159571, 0.8648033799155022, 0.9783067923301918, 0.9896815079623009]",138.98171877861023,"[0.63245703125, 0.3863975830078125, 0.2101017303466797, 0.23539956665039063]","[0.78, 0.856, 0.936, 0.946]",8.813905000686646,,,,,,,,,,,,,,,,,,
39,"[0.8758876975341241, 0.40240785972538184, 0.06777760205347894, 0.02919001388673779]","[0.7040136496587586, 0.8677283067923302, 0.9802567435814105, 0.9905752356191095]",138.20383405685425,"[0.6807657470703125, 0.39444876098632814, 0.22975346374511718, 0.23233123779296874]","[0.756, 0.862, 0.922, 0.946]",8.81332802772522,,,,,,,,,,,,,,,,,,
40,"[0.8746112157742931, 0.4065430560280915, 0.07259291784306955, 0.03609880379821559]","[0.7066948326291843, 0.8683782905427364, 0.9793630159246018, 0.9896002599935002]",138.95370888710022,"[0.6476279296875, 0.38105255126953125, 0.18220454406738282, 0.1896092987060547]","[0.772, 0.88, 0.944, 0.95]",8.870365381240845,,,,,,,,,,,,,,,,,,
41,"[0.8665525915563048, 0.39617445843150795, 0.07128696980939735, 0.031557372610484545]","[0.7111634709132272, 0.8693532661683457, 0.9780630484237894, 0.9898440038999025]",140.7398841381073,"[0.6574557495117187, 0.37028631591796873, 0.1799484558105469, 0.19076780700683593]","[0.756, 0.88, 0.954, 0.956]",9.292893648147583,,,,,,,,,,,,,,,,,,
42,"[0.8460379554964251, 0.3738362259937642, 0.05861995822235792, 0.023083123674166445]","[0.7143321416964575, 0.8761780955476113, 0.984481637959051, 0.992606434839129]",139.39922499656677,"[0.6333695678710938, 0.38779043579101563, 0.19163226318359375, 0.1942021942138672]","[0.782, 0.862, 0.94, 0.954]",8.551602125167847,,,,,,,,,,,,,,,,,,
43,"[0.8436677999065648, 0.38233516818329544, 0.0611923559943228, 0.025682706588035984]","[0.7190445238869029, 0.8763405914852128, 0.9826941826454338, 0.9915502112447189]",139.95233631134033,"[0.6275525512695312, 0.36784033203125, 0.1900055694580078, 0.2169876708984375]","[0.798, 0.896, 0.936, 0.946]",8.861257076263428,,,,,,,,,,,,,,,,,,
44,"[0.8281946637857491, 0.3674599663328729, 0.06128925947078374, 0.025577122412759994]","[0.7219694507637309, 0.8810529736756582, 0.9811504712382191, 0.9917127071823204]",139.58158802986145,"[0.6021417236328125, 0.3240845336914063, 0.18525653076171875, 0.19023214721679688]","[0.798, 0.894, 0.94, 0.954]",8.9403395652771,,,,,,,,,,,,,,,,,,
45,"[0.812948450702795, 0.35320447860385523, 0.05527549646952185, 0.022963041913637218]","[0.7247318817029574, 0.8816217094572636, 0.9839941501462464, 0.9925251868703282]",138.582679271698,"[0.615443603515625, 0.3543120422363281, 0.21777789306640624, 0.2359192657470703]","[0.786, 0.874, 0.94, 0.946]",8.551635265350342,,,,,,,,,,,,,,,,,,
46,"[0.8255414098045987, 0.36689111153568815, 0.05669657719921748, 0.024331599580493884]","[0.7270068248293793, 0.8827591810204745, 0.9838316542086448, 0.9926876828079298]",138.96947526931763,"[0.6585569458007813, 0.35294461059570315, 0.23541741943359376, 0.19416822814941406]","[0.78, 0.878, 0.922, 0.944]",9.010135173797607,,,,,,,,,,,,,,,,,,
47,"[0.8072207069334986, 0.34274154132474816, 0.05383518976478713, 0.023030357621186423]","[0.7347253818654533, 0.8886902827429314, 0.9848066298342542, 0.993337666558336]",139.9704463481903,"[0.6174578857421875, 0.33452606201171875, 0.18035791015625, 0.22268557739257813]","[0.798, 0.892, 0.934, 0.948]",9.153571128845215,,,,,,,,,,,,,,,,,,
48,"[0.7850751607186383, 0.3337506284022587, 0.048543147154353365, 0.018505826645715692]","[0.7382190445238869, 0.8921026974325642, 0.9865128371790706, 0.9947188820279493]",138.86346817016602,"[0.6541996459960937, 0.393953125, 0.19167613220214844, 0.19537660217285155]","[0.796, 0.884, 0.948, 0.946]",8.502188920974731,,,,,,,,,,,,,,,,,,
49,"[0.7966643424246425, 0.3445877903345385, 0.049430264487528436, 0.020407678246459365]","[0.731881702957426, 0.8864153396165095, 0.9865128371790706, 0.9934189145271368]",139.92184972763062,"[0.6176295776367188, 0.3171225891113281, 0.16863768005371094, 0.17784283447265625]","[0.808, 0.882, 0.95, 0.966]",8.92752194404602,,,,,,,,,,,,,,,,,,
